08-05 11:33:39.559|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatorsWindowFactory: 3efe83fc-9289-44d8-aa06-05555c711a05
08-05 11:33:47.478|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatorImportWindowFactory: a23efbda-11ae-42d1-bc4a-ff1ee89307f3
08-05 11:33:49.948|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatorImportWindowFactory: a23efbda-11ae-42d1-bc4a-ff1ee89307f3, False
08-05 11:33:55.218|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatorImportWindowFactory: 15bf3eb4-099d-44c3-94d3-ebbc2b0c2169
08-05 11:34:01.612|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: 0ba040ba-e6ea-456d-b8e9-adc9f5cf6216
08-05 11:34:01.612|INFO |EmulatorScanner:Looking for emulators in D:\Games\Switch\yuzu-windows-msvc-early-access, using 68 definitions.
08-05 11:34:01.695|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: 0ba040ba-e6ea-456d-b8e9-adc9f5cf6216, True
08-05 11:34:04.800|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatorImportWindowFactory: 15bf3eb4-099d-44c3-94d3-ebbc2b0c2169, True
08-05 11:34:06.891|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatorsWindowFactory: 3efe83fc-9289-44d8-aa06-05555c711a05, True
08-05 11:34:09.338|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatedGameImportWindowFactory: e96c1aef-458c-4264-a447-35a4edbbbd11
08-05 11:34:56.133|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: bae04890-b58d-477d-9e67-b1b093972cce
08-05 11:34:56.193|INFO |GameScanner:Scanning emulated directory D:\Games\Switch\Games.
08-05 11:34:56.206|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: bae04890-b58d-477d-9e67-b1b093972cce, True
08-05 11:35:01.050|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatedGameImportWindowFactory: e96c1aef-458c-4264-a447-35a4edbbbd11, True
08-05 11:35:01.050|DEBUG|MetadataDownloader:Downloading metadata for TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D, d0127348-7ab5-447f-9c87-4593bf9fe183, 00000000-0000-0000-0000-000000000000
08-05 11:35:03.021|DEBUG|MetadataDownloader:Downloading metadata for , acc30e68-6a29-47c2-a772-0727a003bd36, 00000000-0000-0000-0000-000000000000
08-05 11:35:03.741|INFO |MainViewModelBase:Starting Library Install Size scan
08-05 11:35:03.741|INFO |MainViewModelBase:Finished Library Install Size scan
08-05 11:35:11.471|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: a22d209a-36f9-4a0e-b168-a77995f50745
08-05 11:35:15.462|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.GameEditWindowFactory: a22d209a-36f9-4a0e-b168-a77995f50745, False
08-05 11:38:54.613|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatorsWindowFactory: 8a46e91a-20ce-42cd-bba2-00aba6a0c7c4
08-05 11:39:06.315|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatorsWindowFactory: 8a46e91a-20ce-42cd-bba2-00aba6a0c7c4, False
08-05 11:39:09.242|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatedGameImportWindowFactory: 1d5d96cf-367d-4fe7-92de-ec1db75aae8f
08-05 11:39:18.061|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatedGameImportWindowFactory: 1d5d96cf-367d-4fe7-92de-ec1db75aae8f, False
08-05 11:39:20.455|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatorsWindowFactory: 79e0b8b1-fa7b-41b9-a233-505c91a677db
08-05 11:39:26.877|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatorsWindowFactory: 79e0b8b1-fa7b-41b9-a233-505c91a677db, False
08-05 11:39:29.355|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: 588289cb-9621-44e0-be84-a321c0666ba0
08-05 11:39:33.781|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.EmulatedGameImportWindowFactory: 0df7421a-32e0-4baa-95b1-21ecdc51ea29
08-05 11:39:49.740|DEBUG|WindowFactory:Show dialog window Playnite.Windows.ProgressWindowFactory: 39cdde21-330d-4285-a7bf-b247fa27b9b9
08-05 11:39:49.776|INFO |GameScanner:Scanning emulated directory D:\Games\Switch\Games.
08-05 11:39:49.776|DEBUG|WindowFactory:Closing window Playnite.Windows.ProgressWindowFactory: 39cdde21-330d-4285-a7bf-b247fa27b9b9, True
08-05 11:40:15.552|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.EmulatedGameImportWindowFactory: 0df7421a-32e0-4baa-95b1-21ecdc51ea29, True
08-05 11:40:15.552|DEBUG|MetadataDownloader:Downloading metadata for The Legend of Zelda: Tears of the Kingdom, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
08-05 11:40:20.906|DEBUG|FileSystem:Copying file C:\Users\han\AppData\Local\Temp\Playnite\fea88b64-32cc-4fa6-bcf7-2f2485d463b6.jpg to C:\Users\han\AppData\Roaming\Playnite\library\files\927e627f-2d39-4dee-b3b9-456dd7daf73e\c893294a-eba3-4946-9f2f-e9966214ca0b.jpg
08-05 11:40:21.084|DEBUG|FileSystem:Copying file C:\Users\han\AppData\Local\Temp\Playnite\954ebd05-b216-4b19-92d0-dab81c818c9e.jpg to C:\Users\han\AppData\Roaming\Playnite\library\files\927e627f-2d39-4dee-b3b9-456dd7daf73e\12d4480d-9f16-4e00-9cc6-a4f4fb0923bb.jpg
08-05 11:40:21.084|INFO |MainViewModelBase:Starting Library Install Size scan
08-05 11:40:21.094|INFO |MainViewModelBase:Finished Library Install Size scan
08-05 11:43:22.180|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: 1c7e28a6-1058-4a19-a707-3bc0cbcbe2ef
08-05 11:43:59.554|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.GameEditWindowFactory: 1c7e28a6-1058-4a19-a707-3bc0cbcbe2ef, True
08-05 11:44:11.625|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: 7cff68cf-4f05-4894-9c49-192c8c443d18
08-05 11:44:24.645|DEBUG|WindowFactory:Closing window Playnite.DesktopApp.Windows.GameEditWindowFactory: 7cff68cf-4f05-4894-9c49-192c8c443d18, True
08-05 11:44:46.862|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
